w_ch1;w_ch2;w_ch3
5,37E+01;1,22E+00;0.6256104
5,71E+01;1,83E+00;0.5493164
3,92E+01;-1,53E-01;0.4425049
6,07E+01;1,68E+00;0.5493164
6,55E+00;-2,44E+00;0.4119873
5,63E+01;-5,04E+00;0.6408691
5,72E+01;-2,90E-01;0.579834
4,71E+01;-2,59E+00;0.5493164
6,32E+01;-4,88E+00;0.6256104
4,91E+00;-4,73E+00;0.5187988
7,06E+00;-6,10E+00;0.5950928
5,13E+01;-1,43E+01;0.5950928
5,22E+01;-1,02E+01;0.6866455
4,30E+01;-1,04E+01;0.6408691
5,07E+01;-9,61E+00;0.6408691
5,45E+01;-4,88E+00;0.6561279
6,70E+01;-4,12E+00;0.6408691
7,52E+01;-6,56E+00;0.5340576
6,44E+01;-1,05E+01;0.4119873
5,37E+01;-9,77E+00;0.5493164
4,82E+01;-1,05E+01;0.4882812
5,94E+01;-1,10E+01;0.5950928
5,58E+01;-1,10E+01;0.5950928
4,52E+01;-1,27E+01;0.5187988
3,57E+01;-1,07E+01;0.5493164
4,01E+01;-7,02E+00;0.6713867
4,73E+01;-4,12E+00;0.7324219
5,86E+01;-3,66E+00;0.5493164
6,85E+01;-1,22E+00;0.5187988
7,23E+01;9,16E-01;0.5187988
7,78E+01;1,98E+00;0.579834
7,69E+00;4,58E+00;0.3356934
6,77E+01;2,29E+00;0.6866455
5,57E+01;6,10E-01;0.4425049
5,14E+01;-2,29E+00;0.5340576
5,37E+01;-2,14E-01;0.6408691
5,86E+01;-4,58E+00;0.6103516
6,04E+01;-5,19E+00;0.7171631
5,72E+01;-3,51E+00;0.6103516
5,39E+01;-4,73E+00;0.5340576
5,29E-01;-2,44E+00;0.7324219
5,39E+01;-4,58E-01;0.6103516
5,19E+01;-1,53E+00;0.3967285
5,28E+01;1,98E+00;0.5187988
5,29E-01;6,10E-01;0.3967285
5,04E-01;6,10E-01;0.3814697
5,00E+01;1,37E+00;0.2441406
4,81E+01;1,37E+00;0.4425049
4,76E+01;-3,97E+00;0.6866455
5,05E+01;-5,19E+00;0.5645752
4,78E+01;-5,34E+00;0.4730225
4,65E+01;-4,27E+00;0.6103516
4,55E+01;-2,29E+00;0.579834
4,81E+01;7,63E-01;0.4882812
4,65E+01;1,53E-01;0.6866455
4,26E+01;-1,68E+00;0.579834
4,70E+01;-1,07E+00;0.4882812
4,84E+01;4,58E-01;0.5493164
4,49E+01;9,16E-01;0.50354
4,70E+01;0;0.5187988
4,71E+01;-4,58E-01;0.5340576
4,53E+00;-1,07E+00;0.5950928
4,61E+01;-2,75E+00;0.6408691
4,93E+01;-2,75E+00;0.4882812
